term	df
offspr	10841
attract	146445
throw	48486
doubl	149515
late	414248
went	377314
especi	199110
agent	101212
god	89316
track	228543
oak	37807
name	983182
eye	114264
despair	7278
bay	122356
absenc	52534
die	502250
colt	12067
tudor	8419
even	425889
arab	53783
saturday	54538
visibl	62159
canada	164714
distanc	111896
melbourn	36362
racetrack	3999
allow	392512
bred	11240
sent	203478
dubai	9737
ride	72040
four	651106
novic	5793
becom	552045
whatsoev	4485
british	325609
help	413612
foe	7328
line	426030
north	502057
stamina	2868
ascot	2925
breeder	7441
champion	129202
stake	31016
stranger	15187
share	226721
futur	199830
regain	36481
promot	296914
australia	163154
heavi	122600
sky	45381
star	305249
memphi	12371
biggest	66061
carri	265153
beaten	29772
ad	309299
seventh	69035
quarter	94380
public	541219
drew	63825
vase	5017
mount	115072
behind	202453
pale	19697
head	390526
odd	34877
brought	215249
footbal	183054
day	672656
put	250943
say	241060
final	506099
woodbin	828
everi	305783
industri	261989
grandeur	2914
edward	111151
pain	45148
metr	46001
month	365818
win	310475
girolamo	1573
recov	81254
agit	10498
outsid	219483
kong	38738
geld	1524
england	246215
better	186140
second	774529
distant	26701
reveal	160291
group	592210
straight	71203
worri	25206
love	209988
juli	500680
triumph	19019
train	327010
rock	182227
irish	74971
black	234797
produc	501107
winner	118560
five	491688
hors	80796
whose	217075
eleven	61559
let	101671
ireland	88495
tough	22105
pass	298230
probabl	133342
mimosa	558
describ	363842
usa	77799
honour	90965
appear	559246
suprem	68470
storm	56389
later	934232
third	438639
pair	105767
castl	69738
toward	243777
emir	13065
record	525634
jockey	10763
old	431975
ridden	8162
steadi	20899
best	449958
diamond	32494
target	107680
turn	348206
ran	156024
mask	24234
fade	18812
well	835200
tri	255621
danc	104303
one	1457804
dam	32004
royal	220848
care	150759
withdrawn	25067
immedi	180400
furlong	3642
back	524985
fourteen	35402
order	484412
hurdl	5521
mani	778624
last	500182
king	239012
examin	91408
handicap	11628
death	380105
subsequ	270431
aphrodit	1336
real	181331
classic	159690
happi	56980
eight	239364
spot	106445
travel	249408
south	523935
far	202344
done	151451
empir	111751
sequenc	59471
lean	19946
time	1229718
almost	231856
experi	228139
matter	122501
nervou	14981
injuri	102281
victori	144205
bone	37741
georg	238361
turf	8770
richard	145813
effort	200129
europ	201484
aston	6969
suggest	206845
collar	11946
apart	116680
brown	124390
vii	20647
year	1378377
race	170501
injur	68419
achiev	212737
tiger	34319
born	793874
franc	202384
ltd	44600
know	142145
everyon	52905
unfortun	37698
toe	9701
vote	160294
preliminari	26083
moon	38083
expect	147569
april	496610
run	460099
sister	163988
hope	137968
park	262965
includ	1281958
wrist	7636
settl	132851
forgotten	17003
full	324500
septemb	511934
morn	102399
founder	152058
elbow	7496
face	248525
complet	492114
began	563370
queen	117739
fall	243094
half	282611
lot	102668
tom	81929
someth	101192
du	46150
small	428138
attempt	280589
peopl	557914
could	434683
america	243409
grip	13457
germani	172837
fifth	135554
gave	252518
week	276600
struggl	101996
grow	174385
high	613437
earnest	7736
interest	311842
seen	235126
forc	418675
pack	41521
never	277297
beat	106595
partner	139751
favourit	29694
two	1319190
snow	32572
colour	71370
set	507494
lead	477334
fourth	202864
father	338896
repeat	73921
de	355181
bit	52082
fli	96917
today	231253
veterinari	6125
honest	13692
elizabeth	72991
blanket	8202
deutsch	15369
firm	102596
june	510368
list	357507
drop	153257
thing	146898
may	822027
whilst	59985
outpac	1484
among	418682
qatar	7009
blog	23942
gold	143945
away	251788
march	536382
ii	293215
plate	47032
begin	356754
media	182561
campaign	194261
surfac	113186
seven	267906
weight	74217
fatal	33523
gash	958
came	373586
eighteen	31562
much	405761
intend	146024
involv	353623
goal	164580
michael	157544
saw	199357
august	486268
way	438168
work	987381
made	858118
get	294704
break	167805
field	305409
clear	150806
intern	508534
hurdler	808
success	454738
synthet	12669
derbi	20735
good	306348
occas	92297
ahead	65452
got	149519
fulli	105650
return	552610
partnership	76848
von	53756
manag	420862
place	719217
heritag	79331
owen	20486
chanc	82687
vi	35449
autumn	37431
nice	22472
seriou	84859
disput	74534
end	708119
comment	115168
baden	7579
control	307559
impact	103083
greatest	80107
right	377217
grand	149930
mile	163689
forearm	2858
three	908696
throughout	287191
co	310536
light	221252
follow	921855
height	91591
experienc	78634
stage	238721
appar	94395
runner	55032
easili	77078
extrem	120411
critic	291244
twenti	123782
led	394593
overtaken	4298
write	265636
replac	323867
problem	196756
europa	9244
panther	12511
freer	1559
eleventh	17274
thursday	21129
ten	233477
us	280279
wound	74950
decid	280633
pari	116516
compet	160881
plan	352936
pull	73059
john	436327
leger	2054
lap	15527
canadian	115204
close	438461
caucu	7747
yorkshir	24703
white	284173
bet	16061
combin	222923
take	554481
eighth	53784
career	362762
quickli	133908
africa	112210
soon	232108
blue	150818
approach	173045
ground	229309
henri	144849
trial	101371
go	347085
hind	7147
mauric	20224
moment	77511
oppon	62765
project	322595
countri	425431
prix	23598
stride	4784
octob	507905
play	641978
keep	181181
pick	108026
would	722997
marvel	16060
contend	26932
season	357079
within	432809
comfort	41913
trebl	3766
heart	140648
murphi	17437
german	219192
matur	38767
length	151226
hamburg	19240
cheshir	7986
compani	458568
descend	79588
sometim	209593
unit	772538
make	647415
scene	150256
scream	15582
fabul	4599
nine	174374
pound	36736
pacemak	1615
foundat	167320
hong	38588
yard	63629
promin	159847
fractur	15211
progress	144577
attent	127388
glen	15635
estim	123060
babu	2839
cavalryman	419
sea	160747
first	1496162
slowli	41706
facebook	21092
arc	24288
african	129744
six	391027
howev	692939
chester	15621
vision	60665
japan	115942
stay	167443
think	119986
breed	32388
decis	172822
sire	6696
next	366657
uae	4984
main	432470
took	502570
long	500306
debut	235720
brilliant	20393
gallop	2946
santa	55270
